[2020-08-13 20:20:10,400] chlorophyll.autograd INFO    : starting 10000 optimization passes on NN model (16->12->1) w/ 0.01 learning rate
[2020-08-13 20:22:11,522] chlorophyll.autograd INFO    :     99 -  475768512.0 ( 475768512.0 difference)
[2020-08-13 20:22:11,887] chlorophyll.autograd INFO    :    199 -  417276704.0 ( -58491808.0 difference)
[2020-08-13 20:22:12,248] chlorophyll.autograd INFO    :    299 -  317035712.0 (-100240992.0 difference)
[2020-08-13 20:22:12,588] chlorophyll.autograd INFO    :    399 -  296680288.0 ( -20355424.0 difference)
[2020-08-13 20:22:12,960] chlorophyll.autograd INFO    :    499 -  291358432.0 (  -5321856.0 difference)
[2020-08-13 20:22:13,327] chlorophyll.autograd INFO    :    599 -  286151680.0 (  -5206752.0 difference)
[2020-08-13 20:22:13,703] chlorophyll.autograd INFO    :    699 -  280605792.0 (  -5545888.0 difference)
[2020-08-13 20:22:14,106] chlorophyll.autograd INFO    :    799 -  274602944.0 (  -6002848.0 difference)
[2020-08-13 20:22:14,502] chlorophyll.autograd INFO    :    899 -  268031184.0 (  -6571760.0 difference)
[2020-08-13 20:22:14,879] chlorophyll.autograd INFO    :    999 -  260796432.0 (  -7234752.0 difference)
[2020-08-13 20:22:15,257] chlorophyll.autograd INFO    :   1099 -  252845984.0 (  -7950448.0 difference)
[2020-08-13 20:22:15,624] chlorophyll.autograd INFO    :   1199 -  244177888.0 (  -8668096.0 difference)
[2020-08-13 20:22:15,957] chlorophyll.autograd INFO    :   1299 -  234842144.0 (  -9335744.0 difference)
[2020-08-13 20:22:16,301] chlorophyll.autograd INFO    :   1399 -  224964992.0 (  -9877152.0 difference)
[2020-08-13 20:22:16,630] chlorophyll.autograd INFO    :   1499 -  214748144.0 ( -10216848.0 difference)
[2020-08-13 20:22:16,950] chlorophyll.autograd INFO    :   1599 -  204439264.0 ( -10308880.0 difference)
[2020-08-13 20:22:17,283] chlorophyll.autograd INFO    :   1699 -  194296976.0 ( -10142288.0 difference)
[2020-08-13 20:22:17,596] chlorophyll.autograd INFO    :   1799 -  184556832.0 (  -9740144.0 difference)
[2020-08-13 20:22:17,908] chlorophyll.autograd INFO    :   1899 -  175410800.0 (  -9146032.0 difference)
[2020-08-13 20:22:18,248] chlorophyll.autograd INFO    :   1999 -  166998320.0 (  -8412480.0 difference)
[2020-08-13 20:22:18,575] chlorophyll.autograd INFO    :   2099 -  159407504.0 (  -7590816.0 difference)
[2020-08-13 20:22:18,896] chlorophyll.autograd INFO    :   2199 -  152681056.0 (  -6726448.0 difference)
[2020-08-13 20:22:19,229] chlorophyll.autograd INFO    :   2299 -  146818144.0 (  -5862912.0 difference)
[2020-08-13 20:22:19,580] chlorophyll.autograd INFO    :   2399 -  141781936.0 (  -5036208.0 difference)
[2020-08-13 20:22:19,922] chlorophyll.autograd INFO    :   2499 -  137505952.0 (  -4275984.0 difference)
[2020-08-13 20:22:20,187] chlorophyll.autograd INFO    :   2599 -  133904392.0 (  -3601560.0 difference)
[2020-08-13 20:22:20,451] chlorophyll.autograd INFO    :   2699 -  130889008.0 (  -3015384.0 difference)
[2020-08-13 20:22:20,796] chlorophyll.autograd INFO    :   2799 -  128371192.0 (  -2517816.0 difference)
[2020-08-13 20:22:21,111] chlorophyll.autograd INFO    :   2899 -  126263384.0 (  -2107808.0 difference)
[2020-08-13 20:22:21,437] chlorophyll.autograd INFO    :   2999 -  124489944.0 (  -1773440.0 difference)
[2020-08-13 20:22:21,791] chlorophyll.autograd INFO    :   3099 -  122989272.0 (  -1500672.0 difference)
[2020-08-13 20:22:22,162] chlorophyll.autograd INFO    :   3199 -  121708320.0 (  -1280952.0 difference)
[2020-08-13 20:22:22,466] chlorophyll.autograd INFO    :   3299 -  120607424.0 (  -1100896.0 difference)
[2020-08-13 20:22:22,778] chlorophyll.autograd INFO    :   3399 -  119652912.0 (   -954512.0 difference)
[2020-08-13 20:22:23,098] chlorophyll.autograd INFO    :   3499 -  118816752.0 (   -836160.0 difference)
[2020-08-13 20:22:23,399] chlorophyll.autograd INFO    :   3599 -  118077040.0 (   -739712.0 difference)
[2020-08-13 20:22:23,677] chlorophyll.autograd INFO    :   3699 -  117415520.0 (   -661520.0 difference)
[2020-08-13 20:22:23,953] chlorophyll.autograd INFO    :   3799 -  116816696.0 (   -598824.0 difference)
[2020-08-13 20:22:24,231] chlorophyll.autograd INFO    :   3899 -  116268416.0 (   -548280.0 difference)
[2020-08-13 20:22:24,518] chlorophyll.autograd INFO    :   3999 -  115761008.0 (   -507408.0 difference)
[2020-08-13 20:22:24,798] chlorophyll.autograd INFO    :   4099 -  115287128.0 (   -473880.0 difference)
[2020-08-13 20:22:25,078] chlorophyll.autograd INFO    :   4199 -  114841040.0 (   -446088.0 difference)
[2020-08-13 20:22:25,355] chlorophyll.autograd INFO    :   4299 -  114418432.0 (   -422608.0 difference)
[2020-08-13 20:22:25,660] chlorophyll.autograd INFO    :   4399 -  114016288.0 (   -402144.0 difference)
[2020-08-13 20:22:25,929] chlorophyll.autograd INFO    :   4499 -  113631728.0 (   -384560.0 difference)
[2020-08-13 20:22:26,211] chlorophyll.autograd INFO    :   4599 -  113262480.0 (   -369248.0 difference)
[2020-08-13 20:22:26,522] chlorophyll.autograd INFO    :   4699 -  112906656.0 (   -355824.0 difference)
[2020-08-13 20:22:26,813] chlorophyll.autograd INFO    :   4799 -  112562264.0 (   -344392.0 difference)
[2020-08-13 20:22:27,101] chlorophyll.autograd INFO    :   4899 -  112228048.0 (   -334216.0 difference)
[2020-08-13 20:22:27,439] chlorophyll.autograd INFO    :   4999 -  111903072.0 (   -324976.0 difference)
[2020-08-13 20:22:27,752] chlorophyll.autograd INFO    :   5099 -  111586112.0 (   -316960.0 difference)
[2020-08-13 20:22:28,044] chlorophyll.autograd INFO    :   5199 -  111276024.0 (   -310088.0 difference)
[2020-08-13 20:22:28,364] chlorophyll.autograd INFO    :   5299 -  110972056.0 (   -303968.0 difference)
[2020-08-13 20:22:28,678] chlorophyll.autograd INFO    :   5399 -  110673576.0 (   -298480.0 difference)
[2020-08-13 20:22:28,967] chlorophyll.autograd INFO    :   5499 -  110380152.0 (   -293424.0 difference)
[2020-08-13 20:22:29,269] chlorophyll.autograd INFO    :   5599 -  110091296.0 (   -288856.0 difference)
[2020-08-13 20:22:29,572] chlorophyll.autograd INFO    :   5699 -  109806712.0 (   -284584.0 difference)
[2020-08-13 20:22:29,898] chlorophyll.autograd INFO    :   5799 -  109526080.0 (   -280632.0 difference)
[2020-08-13 20:22:30,203] chlorophyll.autograd INFO    :   5899 -  109249120.0 (   -276960.0 difference)
[2020-08-13 20:22:30,495] chlorophyll.autograd INFO    :   5999 -  108975568.0 (   -273552.0 difference)
[2020-08-13 20:22:30,778] chlorophyll.autograd INFO    :   6099 -  108705200.0 (   -270368.0 difference)
[2020-08-13 20:22:31,051] chlorophyll.autograd INFO    :   6199 -  108437904.0 (   -267296.0 difference)
[2020-08-13 20:22:31,371] chlorophyll.autograd INFO    :   6299 -  108173432.0 (   -264472.0 difference)
[2020-08-13 20:22:31,634] chlorophyll.autograd INFO    :   6399 -  107911696.0 (   -261736.0 difference)
[2020-08-13 20:22:31,945] chlorophyll.autograd INFO    :   6499 -  107652656.0 (   -259040.0 difference)
[2020-08-13 20:22:32,255] chlorophyll.autograd INFO    :   6599 -  107396352.0 (   -256304.0 difference)
[2020-08-13 20:22:32,560] chlorophyll.autograd INFO    :   6699 -  107142720.0 (   -253632.0 difference)
[2020-08-13 20:22:32,830] chlorophyll.autograd INFO    :   6799 -  106891712.0 (   -251008.0 difference)
[2020-08-13 20:22:33,127] chlorophyll.autograd INFO    :   6899 -  106643296.0 (   -248416.0 difference)
[2020-08-13 20:22:33,423] chlorophyll.autograd INFO    :   6999 -  106397376.0 (   -245920.0 difference)
[2020-08-13 20:22:33,727] chlorophyll.autograd INFO    :   7099 -  106153888.0 (   -243488.0 difference)
[2020-08-13 20:22:34,017] chlorophyll.autograd INFO    :   7199 -  105912752.0 (   -241136.0 difference)
[2020-08-13 20:22:34,324] chlorophyll.autograd INFO    :   7299 -  105673984.0 (   -238768.0 difference)
[2020-08-13 20:22:34,635] chlorophyll.autograd INFO    :   7399 -  105437640.0 (   -236344.0 difference)
[2020-08-13 20:22:34,955] chlorophyll.autograd INFO    :   7499 -  105203648.0 (   -233992.0 difference)
[2020-08-13 20:22:35,264] chlorophyll.autograd INFO    :   7599 -  104971904.0 (   -231744.0 difference)
[2020-08-13 20:22:35,569] chlorophyll.autograd INFO    :   7699 -  104742432.0 (   -229472.0 difference)
[2020-08-13 20:22:35,888] chlorophyll.autograd INFO    :   7799 -  104515184.0 (   -227248.0 difference)
[2020-08-13 20:22:36,212] chlorophyll.autograd INFO    :   7899 -  104290112.0 (   -225072.0 difference)
[2020-08-13 20:22:36,520] chlorophyll.autograd INFO    :   7999 -  104067224.0 (   -222888.0 difference)
[2020-08-13 20:22:36,819] chlorophyll.autograd INFO    :   8099 -  103846496.0 (   -220728.0 difference)
[2020-08-13 20:22:37,141] chlorophyll.autograd INFO    :   8199 -  103628000.0 (   -218496.0 difference)
[2020-08-13 20:22:37,470] chlorophyll.autograd INFO    :   8299 -  103411712.0 (   -216288.0 difference)
