[2020-08-13 20:20:05,201] chlorophyll.nn       INFO    : starting 10000 optimization passes on NN model (16->12->1) w/ 0.01 learning rate
[2020-08-13 20:20:06,410] chlorophyll.nn       INFO    :     99 -  415332928.0 ( 415332928.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:06,822] chlorophyll.nn       INFO    :    199 -  295221184.0 (-120111744.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:07,242] chlorophyll.nn       INFO    :    299 -  252827280.0 ( -42393904.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:07,695] chlorophyll.nn       INFO    :    399 -  249524896.0 (  -3302384.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:08,137] chlorophyll.nn       INFO    :    499 -  248164912.0 (  -1359984.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:08,591] chlorophyll.nn       INFO    :    599 -  246733696.0 (  -1431216.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:09,038] chlorophyll.nn       INFO    :    699 -  245205056.0 (  -1528640.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:09,508] chlorophyll.nn       INFO    :    799 -  243556448.0 (  -1648608.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:09,970] chlorophyll.nn       INFO    :    899 -  241756736.0 (  -1799712.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:10,430] chlorophyll.nn       INFO    :    999 -  239764944.0 (  -1991792.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:10,888] chlorophyll.nn       INFO    :   1099 -  237528784.0 (  -2236160.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:11,333] chlorophyll.nn       INFO    :   1199 -  234983552.0 (  -2545232.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:11,781] chlorophyll.nn       INFO    :   1299 -  232052160.0 (  -2931392.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:12,233] chlorophyll.nn       INFO    :   1399 -  228648224.0 (  -3403936.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:12,688] chlorophyll.nn       INFO    :   1499 -  224683248.0 (  -3964976.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:13,128] chlorophyll.nn       INFO    :   1599 -  220079152.0 (  -4604096.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:13,580] chlorophyll.nn       INFO    :   1699 -  214784064.0 (  -5295088.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:14,012] chlorophyll.nn       INFO    :   1799 -  208788192.0 (  -5995872.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:14,436] chlorophyll.nn       INFO    :   1899 -  202135056.0 (  -6653136.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:14,882] chlorophyll.nn       INFO    :   1999 -  194925024.0 (  -7210032.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:15,338] chlorophyll.nn       INFO    :   2099 -  187305872.0 (  -7619152.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:15,760] chlorophyll.nn       INFO    :   2199 -  179433568.0 (  -7872304.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:16,212] chlorophyll.nn       INFO    :   2299 -  171423504.0 (  -8010064.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:16,674] chlorophyll.nn       INFO    :   2399 -  163336320.0 (  -8087184.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:17,116] chlorophyll.nn       INFO    :   2499 -  155195264.0 (  -8141056.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:17,576] chlorophyll.nn       INFO    :   2599 -  147122112.0 (  -8073152.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:18,027] chlorophyll.nn       INFO    :   2699 -  139316800.0 (  -7805312.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:18,449] chlorophyll.nn       INFO    :   2799 -  131887352.0 (  -7429448.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:18,888] chlorophyll.nn       INFO    :   2899 -  124891952.0 (  -6995400.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:19,343] chlorophyll.nn       INFO    :   2999 -  118364928.0 (  -6527024.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:19,785] chlorophyll.nn       INFO    :   3099 -  112319872.0 (  -6045056.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:20,227] chlorophyll.nn       INFO    :   3199 -  106755632.0 (  -5564240.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:20,672] chlorophyll.nn       INFO    :   3299 -  101666368.0 (  -5089264.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:21,113] chlorophyll.nn       INFO    :   3399 -   97032520.0 (  -4633848.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:21,570] chlorophyll.nn       INFO    :   3499 -   92840288.0 (  -4192232.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:22,015] chlorophyll.nn       INFO    :   3599 -   89049432.0 (  -3790856.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:22,471] chlorophyll.nn       INFO    :   3699 -   85644000.0 (  -3405432.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:22,916] chlorophyll.nn       INFO    :   3799 -   82595280.0 (  -3048720.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:23,348] chlorophyll.nn       INFO    :   3899 -   79878176.0 (  -2717104.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:23,745] chlorophyll.nn       INFO    :   3999 -   77462184.0 (  -2415992.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:24,180] chlorophyll.nn       INFO    :   4099 -   75333048.0 (  -2129136.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:24,598] chlorophyll.nn       INFO    :   4199 -   73454832.0 (  -1878216.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:25,058] chlorophyll.nn       INFO    :   4299 -   71804112.0 (  -1650720.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:25,521] chlorophyll.nn       INFO    :   4399 -   70367680.0 (  -1436432.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:25,962] chlorophyll.nn       INFO    :   4499 -   69117144.0 (  -1250536.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:26,417] chlorophyll.nn       INFO    :   4599 -   68033776.0 (  -1083368.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:26,865] chlorophyll.nn       INFO    :   4699 -   67093992.0 (   -939784.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:27,317] chlorophyll.nn       INFO    :   4799 -   66279400.0 (   -814592.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:27,775] chlorophyll.nn       INFO    :   4899 -   65574364.0 (   -705036.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:28,232] chlorophyll.nn       INFO    :   4999 -   64964800.0 (   -609564.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:28,683] chlorophyll.nn       INFO    :   5099 -   64433796.0 (   -531004.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:29,137] chlorophyll.nn       INFO    :   5199 -   63967492.0 (   -466304.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:29,602] chlorophyll.nn       INFO    :   5299 -   63556264.0 (   -411228.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:30,055] chlorophyll.nn       INFO    :   5399 -   63191860.0 (   -364404.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:30,505] chlorophyll.nn       INFO    :   5499 -   62867008.0 (   -324852.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:30,967] chlorophyll.nn       INFO    :   5599 -   62573832.0 (   -293176.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:31,431] chlorophyll.nn       INFO    :   5699 -   62304928.0 (   -268904.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:31,893] chlorophyll.nn       INFO    :   5799 -   62057420.0 (   -247508.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:32,360] chlorophyll.nn       INFO    :   5899 -   61826784.0 (   -230636.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:32,813] chlorophyll.nn       INFO    :   5999 -   61610008.0 (   -216776.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:33,275] chlorophyll.nn       INFO    :   6099 -   61405268.0 (   -204740.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:33,738] chlorophyll.nn       INFO    :   6199 -   61210724.0 (   -194544.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:34,196] chlorophyll.nn       INFO    :   6299 -   61024584.0 (   -186140.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:34,651] chlorophyll.nn       INFO    :   6399 -   60845752.0 (   -178832.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:35,084] chlorophyll.nn       INFO    :   6499 -   60672824.0 (   -172928.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:35,523] chlorophyll.nn       INFO    :   6599 -   60505064.0 (   -167760.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:35,990] chlorophyll.nn       INFO    :   6699 -   60341880.0 (   -163184.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:36,451] chlorophyll.nn       INFO    :   6799 -   60182952.0 (   -158928.0 difference) - learning rates: [0.01]
[2020-08-13 20:20:36,907] chlorophyll.nn       INFO    :   6899 -   60027792.0 (   -155160.0 difference) - learning rates: [0.01]
