[2020-08-14 22:11:02,123] chlorophyll.autograd INFO    : starting 10000 optimization passes on autograd model (16->12->1) w/ 1e-08 learning rate
[2020-08-14 22:11:03,480] chlorophyll.autograd INFO    :     99 -  458911456.0 ( 458911456.0 difference)
[2020-08-14 22:11:04,160] chlorophyll.autograd INFO    :    199 -  362694400.0 ( -96217056.0 difference)
[2020-08-14 22:11:04,646] chlorophyll.autograd INFO    :    299 -  302990144.0 ( -59704256.0 difference)
[2020-08-14 22:11:04,968] chlorophyll.autograd INFO    :    399 -  295140224.0 (  -7849920.0 difference)
[2020-08-14 22:11:05,465] chlorophyll.autograd INFO    :    499 -  289996928.0 (  -5143296.0 difference)
[2020-08-14 22:11:05,870] chlorophyll.autograd INFO    :    599 -  284630976.0 (  -5365952.0 difference)
[2020-08-14 22:11:06,146] chlorophyll.autograd INFO    :    699 -  278885600.0 (  -5745376.0 difference)
[2020-08-14 22:11:06,542] chlorophyll.autograd INFO    :    799 -  272647104.0 (  -6238496.0 difference)
[2020-08-14 22:11:07,098] chlorophyll.autograd INFO    :    899 -  265807328.0 (  -6839776.0 difference)
[2020-08-14 22:11:07,361] chlorophyll.autograd INFO    :    999 -  258273152.0 (  -7534176.0 difference)
[2020-08-14 22:11:07,669] chlorophyll.autograd INFO    :   1099 -  249989504.0 (  -8283648.0 difference)
[2020-08-14 22:11:08,292] chlorophyll.autograd INFO    :   1199 -  240956160.0 (  -9033344.0 difference)
[2020-08-14 22:11:08,566] chlorophyll.autograd INFO    :   1299 -  231248624.0 (  -9707536.0 difference)
[2020-08-14 22:11:08,847] chlorophyll.autograd INFO    :   1399 -  221027360.0 ( -10221264.0 difference)
[2020-08-14 22:11:09,305] chlorophyll.autograd INFO    :   1499 -  210522928.0 ( -10504432.0 difference)
[2020-08-14 22:11:09,860] chlorophyll.autograd INFO    :   1599 -  200003872.0 ( -10519056.0 difference)
[2020-08-14 22:11:10,130] chlorophyll.autograd INFO    :   1699 -  189737248.0 ( -10266624.0 difference)
[2020-08-14 22:11:10,462] chlorophyll.autograd INFO    :   1799 -  179956944.0 (  -9780304.0 difference)
[2020-08-14 22:11:11,219] chlorophyll.autograd INFO    :   1899 -  170847760.0 (  -9109184.0 difference)
[2020-08-14 22:11:11,511] chlorophyll.autograd INFO    :   1999 -  162538800.0 (  -8308960.0 difference)
[2020-08-14 22:11:11,859] chlorophyll.autograd INFO    :   2099 -  155105248.0 (  -7433552.0 difference)
[2020-08-14 22:11:12,131] chlorophyll.autograd INFO    :   2199 -  148573328.0 (  -6531920.0 difference)
[2020-08-14 22:11:12,391] chlorophyll.autograd INFO    :   2299 -  142927584.0 (  -5645744.0 difference)
[2020-08-14 22:11:12,651] chlorophyll.autograd INFO    :   2399 -  138120400.0 (  -4807184.0 difference)
[2020-08-14 22:11:12,909] chlorophyll.autograd INFO    :   2499 -  134078728.0 (  -4041672.0 difference)
[2020-08-14 22:11:13,167] chlorophyll.autograd INFO    :   2599 -  130711072.0 (  -3367656.0 difference)
[2020-08-14 22:11:13,425] chlorophyll.autograd INFO    :   2699 -  127918304.0 (  -2792768.0 difference)
[2020-08-14 22:11:13,683] chlorophyll.autograd INFO    :   2799 -  125604128.0 (  -2314176.0 difference)
[2020-08-14 22:11:13,940] chlorophyll.autograd INFO    :   2899 -  123679312.0 (  -1924816.0 difference)
[2020-08-14 22:11:14,198] chlorophyll.autograd INFO    :   2999 -  122068016.0 (  -1611296.0 difference)
[2020-08-14 22:11:14,456] chlorophyll.autograd INFO    :   3099 -  120705696.0 (  -1362320.0 difference)
[2020-08-14 22:11:14,714] chlorophyll.autograd INFO    :   3199 -  119542656.0 (  -1163040.0 difference)
[2020-08-14 22:11:14,971] chlorophyll.autograd INFO    :   3299 -  118538728.0 (  -1003928.0 difference)
[2020-08-14 22:11:15,228] chlorophyll.autograd INFO    :   3399 -  117661720.0 (   -877008.0 difference)
[2020-08-14 22:11:15,485] chlorophyll.autograd INFO    :   3499 -  116886816.0 (   -774904.0 difference)
[2020-08-14 22:11:15,751] chlorophyll.autograd INFO    :   3599 -  116193392.0 (   -693424.0 difference)
[2020-08-14 22:11:16,014] chlorophyll.autograd INFO    :   3699 -  115566144.0 (   -627248.0 difference)
[2020-08-14 22:11:16,273] chlorophyll.autograd INFO    :   3799 -  114992776.0 (   -573368.0 difference)
[2020-08-14 22:11:16,530] chlorophyll.autograd INFO    :   3899 -  114463368.0 (   -529408.0 difference)
[2020-08-14 22:11:16,789] chlorophyll.autograd INFO    :   3999 -  113970112.0 (   -493256.0 difference)
[2020-08-14 22:11:17,047] chlorophyll.autograd INFO    :   4099 -  113506904.0 (   -463208.0 difference)
[2020-08-14 22:11:17,303] chlorophyll.autograd INFO    :   4199 -  113068864.0 (   -438040.0 difference)
[2020-08-14 22:11:17,562] chlorophyll.autograd INFO    :   4299 -  112651744.0 (   -417120.0 difference)
[2020-08-14 22:11:17,820] chlorophyll.autograd INFO    :   4399 -  112252536.0 (   -399208.0 difference)
[2020-08-14 22:11:18,077] chlorophyll.autograd INFO    :   4499 -  111868864.0 (   -383672.0 difference)
[2020-08-14 22:11:18,335] chlorophyll.autograd INFO    :   4599 -  111498656.0 (   -370208.0 difference)
[2020-08-14 22:11:18,593] chlorophyll.autograd INFO    :   4699 -  111139736.0 (   -358920.0 difference)
[2020-08-14 22:11:18,850] chlorophyll.autograd INFO    :   4799 -  110790856.0 (   -348880.0 difference)
[2020-08-14 22:11:19,107] chlorophyll.autograd INFO    :   4899 -  110451360.0 (   -339496.0 difference)
[2020-08-14 22:11:19,364] chlorophyll.autograd INFO    :   4999 -  110120112.0 (   -331248.0 difference)
[2020-08-14 22:11:19,623] chlorophyll.autograd INFO    :   5099 -  109796272.0 (   -323840.0 difference)
[2020-08-14 22:11:19,880] chlorophyll.autograd INFO    :   5199 -  109478768.0 (   -317504.0 difference)
[2020-08-14 22:11:20,138] chlorophyll.autograd INFO    :   5299 -  109167008.0 (   -311760.0 difference)
