[2020-08-14 23:52:37,601] chlorophyll.autograd INFO    : starting 10000 optimization passes on autograd model (16->12->1) w/ 1e-08 learning rate
[2020-08-14 23:52:38,447] chlorophyll.autograd INFO    :     99 -  460799104.0 ( 460799104.0 difference)
[2020-08-14 23:52:38,774] chlorophyll.autograd INFO    :    199 -  366343488.0 ( -94455616.0 difference)
[2020-08-14 23:52:39,150] chlorophyll.autograd INFO    :    299 -  304442496.0 ( -61900992.0 difference)
[2020-08-14 23:52:39,501] chlorophyll.autograd INFO    :    399 -  296243264.0 (  -8199232.0 difference)
[2020-08-14 23:52:39,842] chlorophyll.autograd INFO    :    499 -  291155904.0 (  -5087360.0 difference)
[2020-08-14 23:52:40,254] chlorophyll.autograd INFO    :    599 -  285858432.0 (  -5297472.0 difference)
[2020-08-14 23:52:40,648] chlorophyll.autograd INFO    :    699 -  280114240.0 (  -5744192.0 difference)
[2020-08-14 23:52:41,014] chlorophyll.autograd INFO    :    799 -  273905184.0 (  -6209056.0 difference)
[2020-08-14 23:52:41,370] chlorophyll.autograd INFO    :    899 -  267120448.0 (  -6784736.0 difference)
[2020-08-14 23:52:41,678] chlorophyll.autograd INFO    :    999 -  259645456.0 (  -7474992.0 difference)
[2020-08-14 23:52:42,008] chlorophyll.autograd INFO    :   1099 -  251420688.0 (  -8224768.0 difference)
[2020-08-14 23:52:42,322] chlorophyll.autograd INFO    :   1199 -  242446880.0 (  -8973808.0 difference)
[2020-08-14 23:52:42,645] chlorophyll.autograd INFO    :   1299 -  232800672.0 (  -9646208.0 difference)
[2020-08-14 23:52:43,015] chlorophyll.autograd INFO    :   1399 -  222640448.0 ( -10160224.0 difference)
[2020-08-14 23:52:43,321] chlorophyll.autograd INFO    :   1499 -  212194544.0 ( -10445904.0 difference)
[2020-08-14 23:52:43,658] chlorophyll.autograd INFO    :   1599 -  201732464.0 ( -10462080.0 difference)
[2020-08-14 23:52:43,989] chlorophyll.autograd INFO    :   1699 -  191524592.0 ( -10207872.0 difference)
[2020-08-14 23:52:44,313] chlorophyll.autograd INFO    :   1799 -  181806976.0 (  -9717616.0 difference)
[2020-08-14 23:52:44,659] chlorophyll.autograd INFO    :   1899 -  172762560.0 (  -9044416.0 difference)
[2020-08-14 23:52:44,985] chlorophyll.autograd INFO    :   1999 -  164515728.0 (  -8246832.0 difference)
[2020-08-14 23:52:45,294] chlorophyll.autograd INFO    :   2099 -  157136416.0 (  -7379312.0 difference)
[2020-08-14 23:52:45,614] chlorophyll.autograd INFO    :   2199 -  150646016.0 (  -6490400.0 difference)
[2020-08-14 23:52:45,932] chlorophyll.autograd INFO    :   2299 -  145029664.0 (  -5616352.0 difference)
[2020-08-14 23:52:46,235] chlorophyll.autograd INFO    :   2399 -  140247376.0 (  -4782288.0 difference)
[2020-08-14 23:52:46,546] chlorophyll.autograd INFO    :   2499 -  136232992.0 (  -4014384.0 difference)
[2020-08-14 23:52:46,838] chlorophyll.autograd INFO    :   2599 -  132895360.0 (  -3337632.0 difference)
[2020-08-14 23:52:47,123] chlorophyll.autograd INFO    :   2699 -  130135680.0 (  -2759680.0 difference)
[2020-08-14 23:52:47,439] chlorophyll.autograd INFO    :   2799 -  127857440.0 (  -2278240.0 difference)
[2020-08-14 23:52:47,752] chlorophyll.autograd INFO    :   2899 -  125971888.0 (  -1885552.0 difference)
[2020-08-14 23:52:48,147] chlorophyll.autograd INFO    :   2999 -  124398776.0 (  -1573112.0 difference)
[2020-08-14 23:52:48,508] chlorophyll.autograd INFO    :   3099 -  123071184.0 (  -1327592.0 difference)
[2020-08-14 23:52:48,867] chlorophyll.autograd INFO    :   3199 -  121933664.0 (  -1137520.0 difference)
[2020-08-14 23:52:49,176] chlorophyll.autograd INFO    :   3299 -  120942176.0 (   -991488.0 difference)
[2020-08-14 23:52:49,513] chlorophyll.autograd INFO    :   3399 -  120063016.0 (   -879160.0 difference)
[2020-08-14 23:52:49,814] chlorophyll.autograd INFO    :   3499 -  119271744.0 (   -791272.0 difference)
[2020-08-14 23:52:50,138] chlorophyll.autograd INFO    :   3599 -  118550528.0 (   -721216.0 difference)
[2020-08-14 23:52:50,461] chlorophyll.autograd INFO    :   3699 -  117886000.0 (   -664528.0 difference)
[2020-08-14 23:52:50,752] chlorophyll.autograd INFO    :   3799 -  117267408.0 (   -618592.0 difference)
[2020-08-14 23:52:51,049] chlorophyll.autograd INFO    :   3899 -  116687408.0 (   -580000.0 difference)
[2020-08-14 23:52:51,355] chlorophyll.autograd INFO    :   3999 -  116141176.0 (   -546232.0 difference)
[2020-08-14 23:52:51,696] chlorophyll.autograd INFO    :   4099 -  115624832.0 (   -516344.0 difference)
[2020-08-14 23:52:52,001] chlorophyll.autograd INFO    :   4199 -  115134784.0 (   -490048.0 difference)
[2020-08-14 23:52:52,306] chlorophyll.autograd INFO    :   4299 -  114669392.0 (   -465392.0 difference)
[2020-08-14 23:52:52,679] chlorophyll.autograd INFO    :   4399 -  114227952.0 (   -441440.0 difference)
[2020-08-14 23:52:52,985] chlorophyll.autograd INFO    :   4499 -  113809592.0 (   -418360.0 difference)
[2020-08-14 23:52:53,291] chlorophyll.autograd INFO    :   4599 -  113412880.0 (   -396712.0 difference)
[2020-08-14 23:52:53,602] chlorophyll.autograd INFO    :   4699 -  113035168.0 (   -377712.0 difference)
[2020-08-14 23:52:53,899] chlorophyll.autograd INFO    :   4799 -  112674272.0 (   -360896.0 difference)
[2020-08-14 23:52:54,198] chlorophyll.autograd INFO    :   4899 -  112328520.0 (   -345752.0 difference)
[2020-08-14 23:52:54,515] chlorophyll.autograd INFO    :   4999 -  111996216.0 (   -332304.0 difference)
[2020-08-14 23:52:54,811] chlorophyll.autograd INFO    :   5099 -  111675496.0 (   -320720.0 difference)
[2020-08-14 23:52:55,111] chlorophyll.autograd INFO    :   5199 -  111364864.0 (   -310632.0 difference)
[2020-08-14 23:52:55,406] chlorophyll.autograd INFO    :   5299 -  111063008.0 (   -301856.0 difference)
[2020-08-14 23:52:55,704] chlorophyll.autograd INFO    :   5399 -  110768624.0 (   -294384.0 difference)
[2020-08-14 23:52:56,000] chlorophyll.autograd INFO    :   5499 -  110480752.0 (   -287872.0 difference)
[2020-08-14 23:52:56,298] chlorophyll.autograd INFO    :   5599 -  110198576.0 (   -282176.0 difference)
[2020-08-14 23:52:56,607] chlorophyll.autograd INFO    :   5699 -  109921200.0 (   -277376.0 difference)
[2020-08-14 23:52:56,939] chlorophyll.autograd INFO    :   5799 -  109648192.0 (   -273008.0 difference)
[2020-08-14 23:52:57,263] chlorophyll.autograd INFO    :   5899 -  109378992.0 (   -269200.0 difference)
[2020-08-14 23:52:57,566] chlorophyll.autograd INFO    :   5999 -  109113264.0 (   -265728.0 difference)
[2020-08-14 23:52:57,873] chlorophyll.autograd INFO    :   6099 -  108850912.0 (   -262352.0 difference)
[2020-08-14 23:52:58,183] chlorophyll.autograd INFO    :   6199 -  108591672.0 (   -259240.0 difference)
[2020-08-14 23:52:58,486] chlorophyll.autograd INFO    :   6299 -  108335560.0 (   -256112.0 difference)
[2020-08-14 23:52:58,797] chlorophyll.autograd INFO    :   6399 -  108082544.0 (   -253016.0 difference)
[2020-08-14 23:52:59,131] chlorophyll.autograd INFO    :   6499 -  107832592.0 (   -249952.0 difference)
[2020-08-14 23:52:59,539] chlorophyll.autograd INFO    :   6599 -  107585504.0 (   -247088.0 difference)
[2020-08-14 23:52:59,880] chlorophyll.autograd INFO    :   6699 -  107341216.0 (   -244288.0 difference)
[2020-08-14 23:53:00,192] chlorophyll.autograd INFO    :   6799 -  107099688.0 (   -241528.0 difference)
[2020-08-14 23:53:00,518] chlorophyll.autograd INFO    :   6899 -  106860960.0 (   -238728.0 difference)
[2020-08-14 23:53:00,812] chlorophyll.autograd INFO    :   6999 -  106624880.0 (   -236080.0 difference)
[2020-08-14 23:53:01,113] chlorophyll.autograd INFO    :   7099 -  106391344.0 (   -233536.0 difference)
[2020-08-14 23:53:01,416] chlorophyll.autograd INFO    :   7199 -  106160272.0 (   -231072.0 difference)
[2020-08-14 23:53:01,714] chlorophyll.autograd INFO    :   7299 -  105931680.0 (   -228592.0 difference)
[2020-08-14 23:53:02,011] chlorophyll.autograd INFO    :   7399 -  105705520.0 (   -226160.0 difference)
[2020-08-14 23:53:02,315] chlorophyll.autograd INFO    :   7499 -  105481744.0 (   -223776.0 difference)
[2020-08-14 23:53:02,625] chlorophyll.autograd INFO    :   7599 -  105260240.0 (   -221504.0 difference)
[2020-08-14 23:53:02,921] chlorophyll.autograd INFO    :   7699 -  105040912.0 (   -219328.0 difference)
[2020-08-14 23:53:03,219] chlorophyll.autograd INFO    :   7799 -  104823784.0 (   -217128.0 difference)
[2020-08-14 23:53:03,517] chlorophyll.autograd INFO    :   7899 -  104608768.0 (   -215016.0 difference)
[2020-08-14 23:53:03,821] chlorophyll.autograd INFO    :   7999 -  104395840.0 (   -212928.0 difference)
[2020-08-14 23:53:04,119] chlorophyll.autograd INFO    :   8099 -  104185040.0 (   -210800.0 difference)
[2020-08-14 23:53:04,465] chlorophyll.autograd INFO    :   8199 -  103976144.0 (   -208896.0 difference)
[2020-08-14 23:53:04,770] chlorophyll.autograd INFO    :   8299 -  103769216.0 (   -206928.0 difference)
[2020-08-14 23:53:05,074] chlorophyll.autograd INFO    :   8399 -  103564256.0 (   -204960.0 difference)
[2020-08-14 23:53:05,442] chlorophyll.autograd INFO    :   8499 -  103361240.0 (   -203016.0 difference)
[2020-08-14 23:53:05,782] chlorophyll.autograd INFO    :   8599 -  103160080.0 (   -201160.0 difference)
[2020-08-14 23:53:06,111] chlorophyll.autograd INFO    :   8699 -  102960752.0 (   -199328.0 difference)
[2020-08-14 23:53:06,423] chlorophyll.autograd INFO    :   8799 -  102763288.0 (   -197464.0 difference)
[2020-08-14 23:53:06,720] chlorophyll.autograd INFO    :   8899 -  102567608.0 (   -195680.0 difference)
