[2020-08-16 08:23:04,887] chlorophyll.nn       INFO    : starting 10000 optimization passes on NN model (16->12->1) w/ 0.001 learning rate
[2020-08-16 08:23:05,593] chlorophyll.nn       INFO    :     99 -  471353088.0 ( 471353088.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:05,934] chlorophyll.nn       INFO    :    199 -  455988288.0 ( -15364800.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:06,317] chlorophyll.nn       INFO    :    299 -  434006912.0 ( -21981376.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:06,682] chlorophyll.nn       INFO    :    399 -  407199968.0 ( -26806944.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:07,019] chlorophyll.nn       INFO    :    499 -  377969856.0 ( -29230112.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:07,341] chlorophyll.nn       INFO    :    599 -  348836864.0 ( -29132992.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:07,740] chlorophyll.nn       INFO    :    699 -  322053792.0 ( -26783072.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:08,111] chlorophyll.nn       INFO    :    799 -  299301888.0 ( -22751904.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:08,441] chlorophyll.nn       INFO    :    899 -  281491712.0 ( -17810176.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:08,770] chlorophyll.nn       INFO    :    999 -  268710016.0 ( -12781696.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:09,095] chlorophyll.nn       INFO    :   1099 -  260341184.0 (  -8368832.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:09,466] chlorophyll.nn       INFO    :   1199 -  255343968.0 (  -4997216.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:09,816] chlorophyll.nn       INFO    :   1299 -  252590336.0 (  -2753632.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:10,146] chlorophyll.nn       INFO    :   1399 -  251136384.0 (  -1453952.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:10,473] chlorophyll.nn       INFO    :   1499 -  250339232.0 (   -797152.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:10,826] chlorophyll.nn       INFO    :   1599 -  249832480.0 (   -506752.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:11,219] chlorophyll.nn       INFO    :   1699 -  249437504.0 (   -394976.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:11,546] chlorophyll.nn       INFO    :   1799 -  249078192.0 (   -359312.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:11,876] chlorophyll.nn       INFO    :   1899 -  248725696.0 (   -352496.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:12,202] chlorophyll.nn       INFO    :   1999 -  248370032.0 (   -355664.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:12,524] chlorophyll.nn       INFO    :   2099 -  248007856.0 (   -362176.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:12,848] chlorophyll.nn       INFO    :   2199 -  247637920.0 (   -369936.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:13,171] chlorophyll.nn       INFO    :   2299 -  247259600.0 (   -378320.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:13,531] chlorophyll.nn       INFO    :   2399 -  246872384.0 (   -387216.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:13,863] chlorophyll.nn       INFO    :   2499 -  246475648.0 (   -396736.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:14,190] chlorophyll.nn       INFO    :   2599 -  246068768.0 (   -406880.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:14,517] chlorophyll.nn       INFO    :   2699 -  245651072.0 (   -417696.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:14,845] chlorophyll.nn       INFO    :   2799 -  245221728.0 (   -429344.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:15,171] chlorophyll.nn       INFO    :   2899 -  244779808.0 (   -441920.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:15,493] chlorophyll.nn       INFO    :   2999 -  244324224.0 (   -455584.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:15,816] chlorophyll.nn       INFO    :   3099 -  243853824.0 (   -470400.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:16,140] chlorophyll.nn       INFO    :   3199 -  243367232.0 (   -486592.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:16,464] chlorophyll.nn       INFO    :   3299 -  242862880.0 (   -504352.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:16,787] chlorophyll.nn       INFO    :   3399 -  242339056.0 (   -523824.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:17,115] chlorophyll.nn       INFO    :   3499 -  241793824.0 (   -545232.0 difference) - learning rates: [0.001]
[2020-08-16 08:23:17,442] chlorophyll.nn       INFO    :   3599 -  241224976.0 (   -568848.0 difference) - learning rates: [0.001]
